GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin,org.revapi.maven,ReportMojo,72,576,22,26,17,160,19,24,0,19
Maven Plugin,org.revapi.maven,UpdateVersionsMojo,0,9,0,0,0,4,0,1,0,1
Maven Plugin,org.revapi.maven,XmlUtil,16,277,7,49,6,60,7,29,0,7
Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter,281,384,37,40,57,89,29,24,2,10
Maven Plugin,org.revapi.maven,ApiBreakageHintingReporter,1,61,1,9,1,18,1,11,0,7
Maven Plugin,org.revapi.maven,CheckForkMojo,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.pipelineConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failOnUnresolvedArtifacts,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,BuildTimeReporter,57,244,20,30,9,50,17,20,0,12
Maven Plugin,org.revapi.maven,Props.outputIgnoreSuggestions,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,JsonSuggestionsBuilder,72,102,11,9,21,30,11,13,0,11
Maven Plugin,org.revapi.maven,MavenArchive.Empty.new InputStream() {...},0,8,0,0,0,2,0,2,0,2
Maven Plugin,org.revapi.maven,Version,70,141,19,13,17,34,21,11,7,9
Maven Plugin,org.revapi.maven,Props.generateSiteReport,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportTimeReporter,0,117,0,10,0,26,0,12,0,7
Maven Plugin,org.revapi.maven,AbstractRevapiMojo,69,375,15,21,12,72,16,15,2,11
Maven Plugin,org.revapi.maven,Props.reportCriticality,3,0,0,0,1,0,1,0,1,0
