GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jackson Analyzer Base,org.revapi.jackson,JacksonArchiveAnalyzer,41,144,4,12,4,27,4,13,1,8
Jackson Analyzer Base,org.revapi.jackson,JacksonDifferenceAnalyzer,0,171,2,10,0,40,2,10,0,6
Jackson Analyzer Base,org.revapi.jackson,JacksonApiAnalyzer,97,0,16,0,24,0,14,0,6,0
Jackson Analyzer Base,org.revapi.jackson,JacksonElement,25,231,12,24,8,58,12,21,1,14
