GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jackson Analyzer Base,org.revapi.jackson,JacksonArchiveAnalyzer,190,0,14,0,30,0,16,0,9,0
Jackson Analyzer Base,org.revapi.jackson,JacksonDifferenceAnalyzer,242,0,14,0,58,0,14,0,7,0
Jackson Analyzer Base,org.revapi.jackson,JacksonApiAnalyzer,46,0,4,0,13,0,6,0,4,0
Jackson Analyzer Base,org.revapi.jackson,JacksonElement,224,0,34,0,57,0,28,0,11,0
