GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin,org.revapi.maven,Props.singleVersionForAllModules,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,PropertyValueResolver.new AbstractValueSource() {...},20,0,2,0,4,0,3,0,2,0
Maven Plugin,org.revapi.maven,AnalyzerBuilder,435,0,28,0,108,0,50,0,36,0
Maven Plugin,org.revapi.maven,Props.resolveTransitiveProvidedDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportMojo,668,0,52,0,174,0,45,0,19,0
Maven Plugin,org.revapi.maven,UpdateVersionsMojo,9,0,0,0,4,0,1,0,1,0
Maven Plugin,org.revapi.maven,XmlUtil,23,270,14,42,3,62,12,24,0,7
Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter,143,522,18,59,29,117,16,37,1,11
Maven Plugin,org.revapi.maven,ApiBreakageHintingReporter,62,0,10,0,19,0,12,0,7,0
Maven Plugin,org.revapi.maven,CheckForkMojo,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.pipelineConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,PromotedDependency,137,0,20,0,33,0,24,0,14,0
Maven Plugin,org.revapi.maven,Props.failOnUnresolvedArtifacts,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,BuildTimeReporter,175,126,37,13,33,26,30,7,6,6
Maven Plugin,org.revapi.maven,Props.outputIgnoreSuggestions,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,JsonSuggestionsBuilder,63,111,10,10,18,33,10,14,0,11
Maven Plugin,org.revapi.maven,MavenArchive.Empty.new InputStream() {...},8,0,0,0,2,0,2,0,2,0
Maven Plugin,org.revapi.maven,Version,211,0,32,0,52,0,32,0,16,0
Maven Plugin,org.revapi.maven,Props.generateSiteReport,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportTimeReporter,117,0,10,0,26,0,12,0,7,0
Maven Plugin,org.revapi.maven,AbstractRevapiMojo,473,0,42,0,95,0,35,0,14,0
Maven Plugin,org.revapi.maven,Props.reportCriticality,3,0,0,0,1,0,1,0,1,0
