GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin,org.revapi.maven,AbstractVersionModifyingMojo.AnalysisResults,0,9,0,0,0,4,0,1,0,1
Maven Plugin,org.revapi.maven,ValidateConfigurationMojo,72,22,7,1,11,6,5,2,1,2
Maven Plugin,org.revapi.maven,ValidateConfigurationMojo.ValidateReporter,1,5,0,0,1,2,1,2,1,2
Maven Plugin,org.revapi.maven,ConvertToXmlConfigMojo,66,422,12,22,21,107,12,17,1,11
Maven Plugin,org.revapi.maven,PipelineConfigurationParser,163,92,18,10,25,19,15,7,1,4
Maven Plugin,org.revapi.maven,Props,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,CheckMojo,64,204,14,13,10,35,13,5,1,3
Maven Plugin,org.revapi.maven,Props.outputNonIdentifyingDifferenceInfo,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.singleVersionForAllModules,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,PropertyValueResolver.new AbstractValueSource() {...},10,10,2,0,3,1,2,1,1,1
Maven Plugin,org.revapi.maven,AnalyzerBuilder,14,421,7,21,5,103,8,42,1,35
Maven Plugin,org.revapi.maven,Props.resolveTransitiveProvidedDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportMojo,80,588,24,28,18,156,21,24,0,19
Maven Plugin,org.revapi.maven,UpdateVersionsMojo,0,9,0,0,0,4,0,1,0,1
Maven Plugin,org.revapi.maven,XmlUtil,16,277,7,49,6,59,7,29,0,7
Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter,281,384,37,40,58,88,29,24,2,10
Maven Plugin,org.revapi.maven,ApiBreakageHintingReporter,1,61,1,9,1,18,1,11,0,7
Maven Plugin,org.revapi.maven,CheckForkMojo,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.pipelineConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,PromotedDependency,44,93,8,12,15,18,16,8,8,6
Maven Plugin,org.revapi.maven,Props.failOnUnresolvedArtifacts,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,BuildTimeReporter,26,275,14,36,4,55,13,24,0,12
Maven Plugin,org.revapi.maven,Props.outputIgnoreSuggestions,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,JsonSuggestionsBuilder,72,102,11,9,21,30,11,13,0,11
Maven Plugin,org.revapi.maven,MavenArchive.Empty.new InputStream() {...},0,8,0,0,0,2,0,2,0,2
Maven Plugin,org.revapi.maven,Version,36,175,8,24,9,43,10,22,2,14
Maven Plugin,org.revapi.maven,Props.generateSiteReport,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportTimeReporter,0,117,0,10,0,26,0,12,0,7
Maven Plugin,org.revapi.maven,AbstractRevapiMojo,71,402,16,26,10,85,17,18,2,12
Maven Plugin,org.revapi.maven,Props.reportCriticality,3,0,0,0,1,0,1,0,1,0
