GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jackson Analyzer Base,org.revapi.jackson,JacksonArchiveAnalyzer,194,0,16,0,30,0,17,0,9,0
Jackson Analyzer Base,org.revapi.jackson,JacksonDifferenceAnalyzer,144,0,12,0,41,0,12,0,6,0
Jackson Analyzer Base,org.revapi.jackson,JacksonApiAnalyzer,97,0,16,0,24,0,14,0,6,0
Jackson Analyzer Base,org.revapi.jackson,JacksonElement,253,0,36,0,65,0,32,0,14,0
