GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jackson Analyzer Base,org.revapi.jackson,JacksonArchiveAnalyzer,41,153,4,12,3,27,4,13,1,8
Jackson Analyzer Base,org.revapi.jackson,JacksonDifferenceAnalyzer,0,144,2,10,0,41,2,10,0,6
Jackson Analyzer Base,org.revapi.jackson,JacksonApiAnalyzer,97,0,16,0,24,0,14,0,6,0
Jackson Analyzer Base,org.revapi.jackson,JacksonElement,22,231,13,23,7,58,12,20,0,14
