GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Basic Features,org.revapi.basic,IgnoreDifferenceTransform,9,37,1,1,1,11,2,5,1,5
Basic Features,org.revapi.basic,SemverIgnoreTransform,57,385,18,52,12,74,21,28,4,8
Basic Features,org.revapi.basic,AbstractDifferenceReferringTransform,14,108,2,10,5,24,4,8,2,4
Basic Features,org.revapi.basic,ConfigurableElementFilter,210,35,48,0,53,8,30,3,6,3
Basic Features,org.revapi.basic,DifferencesTransform.DifferenceRecipe,16,157,2,20,2,30,2,11,0,2
Basic Features,org.revapi.basic,ClassificationTransform,9,28,1,1,1,9,2,5,1,5
Basic Features,org.revapi.basic,SemverIgnoreTransform.Version,21,89,10,8,2,24,9,3,0,3
Basic Features,org.revapi.basic,DifferenceMatchRecipe,13,387,9,73,4,67,9,39,0,7
Basic Features,org.revapi.basic,DifferencesTransform,96,207,17,29,10,42,13,18,2,6
